Band,Frequency_MHz,Core,Material,Core_Count,Turns_Per_Core,Wire_Type,Wire_AWG,Wire_Length_inches,Winding_Style,Configuration,Max_Power_W,Impedance_Transformation,Bandwidth_MHz,Insertion_Loss_dB,Comments
160M,1.8,FT-140-43,43 (µ=850),2,10,"#16 enameled",16,120,"Bifilar primary, coil secondary","Stack cores, 200Ω-balanced to 50Ω-unbalanced",300,"200Ω → 50Ω (4:1)","1.5-2.0",0.3,"Guanella current balun design. Two FT-140-43 cores stacked (series connection of TLT stages). Good CM suppression."
80M,3.75,FT-140-43,43 (µ=850),2,9,"#16 enameled",16,110,"Bifilar primary, coil secondary","Stack cores, 200Ω-balanced to 50Ω-unbalanced",300,"200Ω → 50Ω (4:1)","3.5-4.0",0.25,"Two stacked cores. Slightly fewer turns than 160M for impedance optimization at 80M-10M."
40M,7.15,FT-140-43,43 (µ=850),2,8,"#16 enameled",16,100,"Bifilar primary, coil secondary","Stack cores, 200Ω-balanced to 50Ω-unbalanced",350,"200Ω → 50Ω (4:1)","7-8",0.2,"Eight turns per core provides excellent response 40M-10M. Standard Guanella design."
30M,10.125,FT-140-43,43 (µ=850),2,7,"#16 enameled",16,90,"Bifilar primary, coil secondary","Stack cores, 200Ω-balanced to 50Ω-unbalanced",350,"200Ω → 50Ω (4:1)","10-12",0.18,"Seven turns—approaching upper frequency limit of two FT-140-43. Still excellent performance."
20M,14.2,FT-140-43,43 (µ=850),2,7,"#16 enameled",16,90,"Bifilar primary, coil secondary","Stack cores, 200Ω-balanced to 50Ω-unbalanced",350,"200Ω → 50Ω (4:1)","14-16",0.15,"Seven turns covers 20M-10M range. Good compromise for multi-band portable use."
17M,18.1,FT-140-43,43 (µ=850),2,6,"#16 enameled",16,80,"Bifilar primary, coil secondary","Stack cores, 200Ω-balanced to 50Ω-unbalanced",350,"200Ω → 50Ω (4:1)","17-20",0.14,"Six turns reduces impedance mismatch effects at 17M and above. High-frequency edge."
15M,21.2,FT-140-43,43 (µ=850),2,6,"#16 enameled",16,80,"Bifilar primary, coil secondary","Stack cores, 200Ω-balanced to 50Ω-unbalanced",350,"200Ω → 50Ω (4:1)","21-24",0.12,"Six turns, same as 17M (broad HF coverage design)."
12M,24.93,FT-140-43,43 (µ=850),2,6,"#16 enameled",16,80,"Bifilar primary, coil secondary","Stack cores, 200Ω-balanced to 50Ω-unbalanced",350,"200Ω → 50Ω (4:1)","24-28",0.11,"Six turns optimized for upper HF (12M-10M). Compact, excellent bandwidth."
10M,28.4,FT-140-43,43 (µ=850),2,6,"#16 enameled",16,80,"Bifilar primary, coil secondary","Stack cores, 200Ω-balanced to 50Ω-unbalanced",350,"200Ω → 50Ω (4:1)","28-32",0.10,"Six turns at 10M edge—upper limit of HF balun design. Transition to trifilar or VHF-specific designs."
6M,51.0,FT-140-61,61 (µ=125),2,5,"#18 enameled",18,60,"Bifilar primary, coil secondary","Stack cores, 200Ω-balanced to 50Ω-unbalanced",250,"200Ω → 50Ω (4:1)","48-56",0.15,"Mix 61 cores essential for 6M. Two FT-140-61 stacked, 5 turns. Excellent VHF performance."
2M,145.0,FT-140-61,61 (µ=125),2,3,"#18 enameled",18,40,"Bifilar primary, coil secondary","Stack cores, 200Ω-balanced to 50Ω-unbalanced",250,"200Ω → 50Ω (4:1)","140-150",0.08,"Three turns on FT-140-61 for 2M. Very compact. Starting point for air-core designs."
1.25M,223.0,"Air-core (3-inch)",,2,6,"#18 enameled",18,70,"Bifilar primary, coil secondary","Two air-core transmission lines parallel","200Ω → 50Ω (4:1)","220-230",0.05,"Transition to air-core. Two separate TL transformers side-by-side (parallel connection)."
70cm,432.0,"Air-core (2-inch)",,2,4,"#20 enameled",20,45,"Bifilar primary, coil secondary","Two air-core TL parallel","200Ω → 50Ω (4:1)","420-450",0.03,"Ultra-compact air-core design for UHF. Very low loss."
33cm,902.0,"Air-core (1.5-inch)",,2,3,"#20 enameled",20,30,"Bifilar primary, coil secondary","Two air-core TL parallel","200Ω → 50Ω (4:1)","890-930",0.02,"Minimal core—primarily wire impedance. Primarily for impedance isolation, not CM suppression."
20cm,1296.0,"Air-core (1-inch)",,2,2,"#20 enameled",20,20,"Bifilar primary, coil secondary","Two air-core TL parallel","200Ω → 50Ω (4:1)","1280-1320",0.01,"Extreme high frequency. Core becomes negligible. Wire placement determines impedance ratio."
