Band,Frequency_MHz,Core,Material,Core_OD_mm,Turns_Primary,Turns_Secondary,Wire_Type,Wire_AWG,Wire_Length_inches,Winding_Style,Max_Power_W,Impedance_Transformation,Insertion_Loss_dB,Application,Comments
160M,1.8,FT-240-43×2,43 (µ=850),61×2,5,12,"#14 enameled",14,160,"Trifilar (P+S+Return)",400,"300Ω-bal → 50Ω-unbal (6:1)","0.35","High-impedance balanced feedlines (300Ω window line)","Two FT-240-43 cores stacked. Turns ratio 2.4:1 gives Z ratio ~5.76 (nominal 6:1). Good bandwidth 160M-30M."
80M,3.75,FT-240-43,43 (µ=850),61,5,12,"#14 enameled",14,150,"Trifilar (P+S+Return)",450,"300Ω-bal → 50Ω-unbal (6:1)","0.25","High-impedance balanced feedlines (300Ω window line)","Single FT-240-43 adequate 80M+. Trifilar winding provides impedance symmetry."
40M,7.15,FT-240-43,43 (µ=850),61,4,10,"#14 enameled",14,130,"Trifilar (P+S+Return)",450,"300Ω-bal → 50Ω-unbal (6:1)","0.20","High-impedance balanced feedlines, some loop antennas","Four turns primary, ten turns secondary. Reduces impedance mismatch at 40M."
30M,10.125,FT-240-43,43 (µ=850),61,4,9,"#14 enameled",14,120,"Trifilar (P+S+Return)",450,"300Ω-bal → 50Ω-unbal (6:1)","0.18","High-impedance balanced feedlines","Four-to-nine turns. Good 30M-10M coverage. Slightly tighter impedance matching."
20M,14.2,FT-140-43,43 (µ=850),35.6,3,7,"#16 enameled",16,90,"Trifilar (P+S+Return)",250,"300Ω-bal → 50Ω-unbal (6:1)","0.15","Folded dipole with 300Ω feed point","FT-140-43 sufficient for 20M+. Three-to-seven turns (2.33:1 ratio → ~5.4:1 Z)."
17M,18.1,FT-140-43,43 (µ=850),35.6,3,7,"#16 enameled",16,90,"Trifilar (P+S+Return)",250,"300Ω-bal → 50Ω-unbal (6:1)","0.12","Folded dipole with 300Ω feed point","Same configuration as 20M (broad design). Excellent 20M-10M coverage."
15M,21.2,FT-140-43,43 (µ=850),35.6,3,7,"#16 enameled",16,90,"Trifilar (P+S+Return)",250,"300Ω-bal → 50Ω-unbal (6:1)","0.10","Folded dipole with 300Ω feed point","Three-to-seven on FT-140-43. Compact, lightweight."
12M,24.93,FT-140-43,43 (µ=850),35.6,3,7,"#16 enameled",16,90,"Trifilar (P+S+Return)",250,"300Ω-bal → 50Ω-unbal (6:1)","0.09","Folded dipole with 300Ω feed point","Three-to-seven. Approaching upper HF limit."
10M,28.4,FT-140-43,43 (µ=850),35.6,3,7,"#16 enameled",16,90,"Trifilar (P+S+Return)",250,"300Ω-bal → 50Ω-unbal (6:1)","0.08","Folded dipole with 300Ω feed point","Three-to-seven. Usable at 10M, but consider air-core alternatives."
6M,51.0,FT-140-61,61 (µ=125),35.6,2,5,"#18 enameled",18,60,"Trifilar (P+S+Return)",200,"300Ω-bal → 50Ω-unbal (6:1)","0.15","Folded dipole antenna (rare application at VHF)","FT-140-61 for VHF. Two-to-five turns (2.5:1 ratio). Very compact."
2M,145.0,FT-140-61,61 (µ=125),35.6,2,4,"#20 enameled",20,45,"Trifilar (P+S+Return)",150,"300Ω-bal → 50Ω-unbal (6:1)","0.10","Rare (most 2M antennas use 50Ω or 75Ω)","Two-to-four turns. Mostly theoretical application at 2M."
1.25M,223.0,"Air-core (2-inch)",,50,3,7,"#20 enameled",20,80,"Trifilar air-core","100","300Ω-bal → 50Ω-unbal (6:1)","0.05","Not practical; use voltage balun designs instead.","Included for completeness; air-core trifilar difficult to wind neatly."
70cm,432.0,"Air-core (1.5-inch)",,38,2,5,"#22 enameled",22,50,"Trifilar air-core","75","300Ω-bal → 50Ω-unbal (6:1)","0.03","Not recommended at UHF.","Ultra-high frequency requires thick-gauge wire and precise geometry."
33cm,902.0,"Not practical",,,,,,,,"Not recommended","Not practical","Impedance transformation requires very compact winding.","Use lumped-element designs instead."
20cm,1296.0,"Not practical",,,,,,,,"Not recommended","Not practical","Impedance transformation infeasible at microwave frequencies.","Lumped-element or microstrip transformer necessary."
