Band,Frequency_MHz,Core,Material,Core_OD_mm,Turns_Primary,Turns_Secondary,Wire_Type,Wire_AWG,Wire_Length_inches,Winding_Style,Max_Power_W,Impedance_Transformation,Insertion_Loss_dB,Primary_Application,Comments
160M,1.8,FT-240-43×2,43 (µ=850),61×2,4,12,"#14 enameled",14,170,"Trifilar primary, primary coil on secondary","400","450Ω-ladder → 50Ω-unbal (9:1)","0.40","450Ω ladder line to coax transition","Two FT-240-43 cores stacked (total AL ~2200). 4:12 gives Z ratio ~9. Good 160M-40M."
80M,3.75,FT-240-43,43 (µ=850),61,4,12,"#14 enameled",14,160,"Trifilar primary, primary coil on secondary","450,"450Ω-ladder → 50Ω-unbal (9:1)","0.30","450Ω ladder line to coax transition","Single FT-240-43. Classic configuration for window line antennas."
40M,7.15,FT-240-43,43 (µ=850),61,4,11,"#14 enameled",14,150,"Trifilar primary, primary coil on secondary","450","450Ω-ladder → 50Ω-unbal (9:1)","0.22","450Ω ladder line to coax transition, G5RV antennas","Four-to-eleven turns. Optimized for 40M-10M coverage."
30M,10.125,FT-240-43,43 (µ=850),61,3,9,"#14 enameled",14,130,"Trifilar primary, primary coil on secondary","450","450Ω-ladder → 50Ω-unbal (9:1)","0.20","450Ω ladder line to coax transition","Three-to-nine turns (exact 3:1 ratio = 9:1 Z). Cleaner design than 4:12."
20M,14.2,FT-140-43,43 (µ=850),35.6,3,9,"#16 enameled",16,110,"Trifilar primary, primary coil on secondary","280","450Ω-ladder → 50Ω-unbal (9:1)","0.18","450Ω ladder line to coax transition, G5RV antennas","FT-140-43 adequate. Three-to-nine perfect turns ratio. Compact."
17M,18.1,FT-140-43,43 (µ=850),35.6,3,9,"#16 enameled",16,110,"Trifilar primary, primary coil on secondary","280","450Ω-ladder → 50Ω-unbal (9:1)","0.15","450Ω ladder line to coax transition","Same as 20M (multi-band). Broad 20M-10M coverage."
15M,21.2,FT-140-43,43 (µ=850),35.6,3,9,"#16 enameled",16,110,"Trifilar primary, primary coil on secondary","280","450Ω-ladder → 50Ω-unbal (9:1)","0.13","450Ω ladder line to coax transition, G5RV multi-band","Three-to-nine on FT-140. Lightweight, portable."
12M,24.93,FT-140-43,43 (µ=850),35.6,3,9,"#16 enameled",16,110,"Trifilar primary, primary coil on secondary","280","450Ω-ladder → 50Ω-unbal (9:1)","0.11","450Ω ladder line to coax transition","Three-to-nine. Good to 12M."
10M,28.4,FT-140-43,43 (µ=850),35.6,3,9,"#16 enameled",16,110,"Trifilar primary, primary coil on secondary","280","450Ω-ladder → 50Ω-unbal (9:1)","0.10","450Ω ladder line to coax transition, G5RV antennas","Three-to-nine. Upper HF limit for this design."
6M,51.0,FT-140-61,61 (µ=125),35.6,2,6,"#18 enameled",18,80,"Trifilar primary, primary coil on secondary","200","450Ω-ladder → 50Ω-unbal (9:1)","0.16","Rare at VHF; some loop-fed designs","FT-140-61 for VHF. Two-to-six turns (Z ratio ~5.4, compromised)."
2M,145.0,FT-140-61,61 (µ=125),35.6,1,3,"#20 enameled",20,40,"Trifilar primary, primary coil on secondary","150","450Ω-ladder → 50Ω-unbal (9:1)","0.10,"Primarily theoretical at 2M","One-to-three turns. Tight windings. L dominates impedance, not transformation."
1.25M,223.0,"Air-core (2-inch) TL",,50,3,9,"#20 enameled",20,100,"Trifilar air-core transmission line","80","450Ω-ladder → 50Ω-unbal (9:1)","0.06","Not practical; use coaxial ununs instead.","Air-core trifilar becomes bulky at VHF. Coaxial designs superior."
70cm,432.0,"Air-core (1.5-inch) TL",,38,2,6,"#22 enameled",22,60,"Trifilar air-core transmission line","60","450Ω-ladder → 50Ω-unbal (9:1)","0.04","Not recommended; consider lumped-element designs.","Difficult to wind and tune at UHF."
33cm,902.0,"Not practical",,,,,,"","Not recommended","Impedance transformation requires lumped elements or microstrip design.","Transformer baluns infeasible at this frequency."
20cm,1296.0,"Not practical",,,,,,"","Not recommended","Lumped-element or stripline balun required.","Wire-wound toroids obsolete above ~1 GHz."
