Band,Center_freq_MHz,Low_MHz,High_MHz,Lambda_m,QW_bare_m,VF,QW_physical_m,QW_physical_ft,QW_physical_in,Counterpoise_m,Feed_Z_ohm,Wire_gauge,Wire_type,Notes
160m,1.900,1.800,2.000,157.89,39.47,0.97,38.29,125.6,1507,38.29,35,#14 AWG,7x22 stranded copper,"Counterpoise = full QW radial; needs 2-4 radials for portable"
80m,3.750,3.500,4.000,80.00,20.00,0.97,19.40,63.6,764,19.40,36,#14 AWG,7x22 stranded copper,"2 radials minimum; ground stake + counterpoise wire"
40m,7.150,7.000,7.300,41.96,10.49,0.97,10.18,33.4,401,10.18,37,#18 AWG,19x30 stranded copper,"4 radials 2.5m each adequate for portable"
30m,10.125,10.100,10.150,29.63,7.41,0.97,7.19,23.6,283,7.19,38,#18 AWG,19x30 stranded copper,"WARC band; 3 radials; narrow band requires careful tuning"
20m,14.175,14.000,14.350,21.15,5.29,0.97,5.13,16.8,202,5.13,40,#18 AWG,19x30 stranded copper,"Good portable performer; 4 radials 1.3m each"
17m,18.118,18.068,18.168,16.56,4.14,0.97,4.01,13.2,158,4.01,41,#18 AWG,solid copper,"WARC; narrow bandwidth 100kHz; sharp tuning needed"
15m,21.225,21.000,21.450,14.14,3.54,0.97,3.43,11.2,135,3.43,42,#20 AWG,solid copper,"Strong DX band; 3 radials 86cm each"
12m,24.940,24.890,24.990,12.02,3.01,0.97,2.92,9.6,115,2.92,43,#20 AWG,solid copper,"WARC; 50kHz bandwidth; very sharp tuning"
10m,28.500,28.000,29.700,10.53,2.63,0.97,2.55,8.4,101,2.55,44,#20 AWG,solid copper,"Wide 1.7MHz bandwidth; 4 radials 64cm each"
6m,51.000,50.000,54.000,5.88,1.47,0.95,1.40,4.6,55,1.40,50,#22 AWG,solid copper,"4 radials 35cm each; gamma or hairpin match recommended"
2m,146.000,144.000,148.000,2.05,0.514,0.95,0.488,1.60,19.2,0.488,52,3mm aluminum rod,"Rigid element; 4 radials 12.2cm each; coaxial vertical style"
1.25m,222.000,222.000,225.000,1.351,0.338,0.95,0.321,1.05,12.6,0.321,53,3mm aluminum rod,"Rigid; coaxial vertical; gamma match recommended"
70cm,446.000,420.000,450.000,0.672,0.168,0.95,0.160,0.52,6.3,0.160,50,6mm aluminum tube,"Short rigid element; coaxial vertical; N-type connector"
33cm,906.000,902.000,928.000,0.331,0.0827,0.95,0.0785,0.26,3.1,0.0785,50,6mm aluminum tube,"ISM/amateur 33cm band; SMA or N connector"
20cm,1297.000,1240.000,1300.000,0.231,0.0578,0.95,0.0549,0.18,2.2,0.0549,50,6mm aluminum tube,"23cm band; SMA connector; coaxial design recommended"
