Band,Frequency_MHz,Core,Material,Core_OD_mm,Turns,Wire_Type,Wire_AWG,Wire_Length_inches,Winding_Style,Max_Power_W,CM_Z_Ohm_Target,CM_Z_Ohm_Measured,Velocity_Factor,Comments
160M,1.8,FT-240-43×2,43 (µ=850),61×2,14,"RG-58 or RG-174",8,140,Toroid through core,500,250+,280,0.66,"Two FT-240-43 cores stacked for 160M low-freq headroom. Tightly wound, bifilar preferred for impedance symmetry."
80M,3.75,FT-240-43,43 (µ=850),61,12,"RG-58 or RG-174",8,125,Toroid through core,700,500+,650,0.66,"Single FT-240-43 adequate for 80M and up. Common CM choke configuration. Works 80-10M with compromise."
40M,7.15,FT-240-43,43 (µ=850),61,10,"RG-58 or RG-174",8,105,Toroid through core,700,1000+,1200,0.66,"Ten turns optimized for 40M-10M coverage. Reduced turns from 80M improves high-freq response."
30M,10.125,FT-240-43,43 (µ=850),61,9,"RG-58 or RG-174",8,95,Toroid through core,700,1500+,1800,0.66,"Nine turns balances 30M-10M bands. Approaching FT-140-43 territory for weight saving."
20M,14.2,FT-140-43,43 (µ=850),35.6,8,"RG-174 preferred",10,75,Toroid through core,350,2000+,2200,0.66,"Smaller core sufficient for 20M and above. RG-174 (thinner coax) fits better on FT-140."
17M,18.1,FT-140-43,43 (µ=850),35.6,7,"RG-174 preferred",10,65,Toroid through core,350,2500+,2600,0.66,"Seven turns on FT-140-43 provides excellent 17M-10M coverage. Compact, lighter than FT-240."
15M,21.2,FT-140-43,43 (µ=850),35.6,7,"RG-174 preferred",10,65,Toroid through core,350,2500+,2700,0.66,"Same configuration as 17M (broad multi-band design). Alternative: 6 turns for 15M-10M only."
12M,24.93,FT-140-43,43 (µ=850),35.6,6,"RG-174 preferred",10,55,Toroid through core,350,3000+,3200,0.66,"Six turns on FT-140-43 for 12M-10M bands. Very compact form factor."
10M,28.4,FT-140-43,43 (µ=850),35.6,6,"RG-174 preferred",10,55,Toroid through core,350,3000+,3200,0.66,"Six turns optimized for 10M+6M coverage (see below for 6M). Minimal size/weight."
6M,51.0,FT-240-61,61 (µ=125),61,5,"RG-174 recommended",10,45,Toroid through core,600,5000+,5200,0.66,"FT-240-61 (lower permeability) essential for 6M. Mix 43 loses efficiency at VHF. Five turns adequate CM impedance."
2M,145.0,FT-240-61,61 (µ=125),61,4,"RG-174 recommended",12,35,Toroid through core,600,15000+,18000,0.66,"Four turns on FT-240-61 for 2M. Approaching air-core choke territory. Alternative: 8-turn air-core on 3.5-inch form."
1.25M,223.0,"Air-core (4-inch form)",—,101,8,"RG-58 or better",10,105,Coiled on PVC form,100,8000+,10000,0.66,"Transition to air-core coax choke (ferrite too lossy at UHF). Eight turns on 4-inch diameter PVC pipe."
70cm,432.0,"Air-core (3.5-inch form)",—,88,8,"RG-58 preferred",10,95,Coiled on PVC form,100,5000+,6000,0.66,"Standard air-core coax choke. Eight turns on 3.5-inch diameter. Minimal insertion loss (<0.2dB)."
33cm,902.0,"Air-core (3-inch form)",—,76,6,"RG-58 preferred",12,60,Coiled on PVC form,80,3000+,3500,0.66,"Six turns on 3-inch diameter form. Common in UHF repeater/mobile installations."
20cm,1296.0,"Air-core (2.5-inch form)",—,63,5,"RG-58 minimum",12,50,Coiled on PVC form,50,2000+,2200,0.66,"Five turns on 2.5-inch form for 20cm coverage. Minimal CM suppression at 1.3GHz; primarily passes RF with minimal loss."
